ticker,name,group,performance_today,performance_1w,performance_1m,performance_3m,performance_6m,performance_ytd
GFR,Greenfire Resources Ltd,Oil & Gas E&P,4.6827793,8.450705,7.4418607,26.229507,0.14450867,45.588234
GFS,GlobalFoundries Inc,Semiconductors,-1.8144236,-6.9640913,-20.003742,-50.19224,-0.7660167,22.42268
GGAL,Grupo Financiero Galicia ADR,Banks - Regional,-1.9087523,-5.282086,-2.9479504,-25.243923,-1.8859138,-21.876158
GGB,Gerdau SA ADR,Steel,3.4764826,0.998004,5.4166665,21.342926,55.214725,37.127373
GGG,Graco Inc,Specialty Industrial Machinery,0.39195192,0.56275356,-5.7755976,1.0653689,-8.403862,-6.258387
GGN,GAMCO Global Gold Natural Resources & Income Trust,Closed-End Fund - Equity,-0.18181819,-2.8318584,1.6666666,10.240964,13.429752,6.395349
GH,Guardant Health Inc,Diagnostics & Research,4.653241,7.906377,8.647244,33.290333,106.21038,71.96985
GHC,Graham Holdings Co,Conglomerates,-0.6748713,3.7854042,-0.47541815,1.3182954,11.851051,5.566175
GHM,Graham Corp,Specialty Industrial Machinery,-0.011948859,-4.34385,-27.537235,-24.428791,4.691605,30.2818
GHRS,GH Research PLC,Biotechnology,-1.219075,-0.03628447,-8.105404,23.875898,97.208305,116.92913
GIB,CGI Inc,Information Technology Services,-1.0835277,4.7494555,-0.48295847,17.689295,-0.93406594,-21.86349
GIC,Global Industrial Co,Industrial Distribution,1.2484076,0.5821311,2.926703,20.75357,31.198416,36.00274
GIII,G-III Apparel Group Ltd,Apparel Manufacturing,-0.25152713,0.7988381,-17.796862,-20.161058,4.204204,-4.1436462
GIL,Gildan Activewear Inc,Apparel Manufacturing,-3.267285,-9.038652,-17.892288,-11.562922,-18.038935,-26.528978
GILD,Gilead Sciences Inc,Drug Manufacturers - General,-0.07513148,0.44627532,5.31241,18.21267,6.6248817,19.195047
GIS,General Mills Inc,Packaged Foods,0.30161777,-1.3750337,-3.6861506,9.455416,-1.1618482,-21.333334
GKOS,Glaukos Corp,Medical Devices,0.34484774,-4.510818,-7.5099664,31.37435,69.99703,52.050304
GL,Globe Life Inc,Insurance - Life,0.21397178,2.04334,-3.4111812,1.4816116,26.673977,23.902473
GLBE,Global E Online Ltd,Internet Retail,-2.6940517,1.0246469,-11.413307,11.0840435,12.801484,-7.199186
GLIBA,Liberty Capital Corp,Telecom Services,-1.3420246,-0.5411674,-1.5684774,22.465492,-27.275297,-30.214266
GLIBK,Liberty Capital Corp,Telecom Services,-1.122291,0.43238994,-0.07821666,25.122429,-27.82486,-31.335663
GLNG,Golar Lng,Oil & Gas Midstream,-2.0983098,-2.9842126,-3.96417,1.592742,-4.32884,35.420586
GLOB,Globant SA,Information Technology Services,-0.9632008,10.957388,10.590182,30.448927,-10.310892,-38.656876
GLP,Global Partners LP,Oil & Gas Midstream,-0.48904538,-4.86254,-0.019654088,19.469234,9.0694685,21.553165
GLPI,Gaming and Leisure Properties Inc,REIT - Specialty,-1.047503,-2.120482,-3.857988,-8.903341,-11.772372,-9.1071825
GLUE,Monte Rosa Therapeutics Inc,Biotechnology,-6.5467625,-8.906031,-15.539662,-29.05516,-16.890594,-17.155613
GLW,Corning Inc,Electronic Components,-0.020891365,-14.775021,-17.112177,-26.344141,15.243217,63.967564
GLXY,Galaxy Digital Inc,Capital Markets,-7.6253624,-11.371769,1.920439,-34.824562,7.57722,-0.31305903
GM,General Motors Company,Auto Manufacturers,-2.0536942,1.9221586,1.1852554,7.668054,17.250378,4.9803247
GMAB,Genmab ADR,Biotechnology,4.5941806,3.359564,3.9890378,35.140484,36.05578,10.876623
GME,Gamestop Corp,Specialty Retail,-0.83256245,7.7928605,16.52174,-0.37174723,-5.006646,6.772908
GMED,Globus Medical Inc,Medical Devices,-1.4253663,0.22812667,-12.253289,-5.7301526,-13.412937,-14.454244
GNK,Genco Shipping & Trading Limited,Marine Shipping,4.148148,3.6109064,7.246377,18.75,30.185184,52.57732
GNL,Global Net Lease Inc,REIT - Diversified,-0.11086474,-0.88008803,2.2701476,-2.2776573,-2.2776573,4.7674417
GNRC,Generac Holdings Inc,Specialty Industrial Machinery,-1.1018194,-6.1400685,-20.890396,-37.298943,-12.182028,28.349344
GNTX,Gentex Corp,Auto Parts,-0.75287867,-1.1032656,-5.8798823,-13.641619,8.26087,-3.6957457
GNW,Genworth Financial Inc,Insurance - Life,-5.5660377,-4.5757866,-0.7928642,11.8435755,25.281603,10.852714
GO,Grocery Outlet Holding Corp,Grocery Stores,-1.457976,1.7714791,0,24.082073,98.445595,13.762376
GOF,Guggenheim Strategic Opportunities Fund,Closed-End Fund - Debt,-4.323725,-6.3991323,-16.213593,-19.49627,-20.240295,-32.996895
GOLD,Gold.com Inc,Capital Markets,1.0143702,-3.1015608,5.3095393,13.136095,13.1093235,40.38179
GOLF,Acushnet Holdings Corp,Leisure,-1.7614375,-2.8638222,-8.338848,-22.862713,-6.9741406,4.109246
GOOG,Alphabet Inc,Internet Content & Information,-1.2380319,3.9740543,-0.005857373,-7.083764,14.270892,8.804972
GOOGL,Alphabet Inc,Internet Content & Information,-1.2621999,4.3338876,0.2848837,-6.2630763,14.611296,10.217253
GPC,Genuine Parts Co,Auto Parts,-1.6515276,-3.1277728,-1.1394507,20.52438,35.93069,6.5468445
GPCR,Structure Therapeutics Inc ADR,Biotechnology,1.326743,-5.529954,-27.548363,-12.491575,-19.839474,-43.997124
GPGI,GPGI Inc,Metal Fabrication,-4.6995378,-7.4794316,-6.2168307,-14.216366,-27.491207,0
GPI,Group 1 Automotive Inc,Auto & Truck Dealerships,-3.0139785,-4.2645626,6.072859,-12.041768,-13.470298,-29.964403
GPK,Graphic Packaging Holding Co,Packaging & Containers,1.4705882,1.5772871,-12.181818,-9.803922,8.417508,-35.856575
GPN,Global Payments Inc,Software - Infrastructure,-1.3416121,2.2523558,-1.5490153,33.04426,29.89781,14.961241
GPOR,Gulfport Energy Corp,Oil & Gas E&P,1.6699411,-0.21550502,3.7441037,9.48292,-14.137224,-15.404587
GPRE,Green Plains Inc,Chemicals,1.779603,-4.9232736,-7.8686495,0.33738193,-4.064516,51.734695
GPRK,Geopark Limited,Oil & Gas E&P,2.7898867,-1.0075567,22.940563,16.27219,20.306122,59.10931
GRAB,Grab Holdings Limited,Software - Application,-3.642384,-4.2763157,-18.715084,-18.487394,-18.258427,-41.683365
GRAL,GRAIL Inc,Diagnostics & Research,0.4766318,-2.0521424,8.49178,19.061813,62.01964,-11.333099
GRBK,Green Brick Partners Inc,Residential Construction,-2.512709,-2.484382,-5.3047404,-10.038869,9.565785,7.1177783
GRC,Gorman-Rupp Co,Specialty Industrial Machinery,-0.37762237,-4.734519,-11.6800995,-18.844707,21.283842,49.172775
GRDN,Guardian Pharmacy Services Inc,Medical Care Facilities,3.2480104,10.624568,26.31579,13.180854,34.755756,59.521435
GRFS,Grifols SA ADR,Drug Manufacturers - General,-1.6042781,-5.882353,-5.2767053,-0.5405405,-2.9023747,-21.283422
GRMN,Garmin Ltd,Scientific & Technical Instruments,-0.5028889,2.4946725,-9.2780485,19.11614,20.059391,37.525265
GRND,Grindr Inc,Software - Application,-2.415766,2.813128,-2.909551,14.981274,22.310757,13.367799
GROY,Gold Royalty Corp,Gold,0.5952381,2.7355623,5.625,17.770035,7.301587,-16.336634
